,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,val_f1,test_f1,test_tp,test_tn,test_fp,test_fn,val_tp,val_tn,val_fp,val_fn,Session_trial,Reward,Prop_pred_reward_trial
0,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_1,0.0,0.0
1,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_10,1.0,0.3037974683544304
2,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_11,1.0,0.6835443037974683
3,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_12,0.0,0.759493670886076
4,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_2,1.0,0.5189873417721519
5,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_3,1.0,0.2911392405063291
6,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_4,0.0,0.4430379746835443
7,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_5,1.0,1.0
8,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_6,1.0,0.0379746835443038
9,Control,1,0.8718987341772152,0.5516877637130801,0.7647679324894515,0.5021097046413502,0.7083333333333334,0.75,0.9094163981382026,0.6419545071609098,0.40189873417721517,0.14978902953586498,0.10021097046413502,0.34810126582278483,0.669831223628692,0.19672995780590719,0.0949367088607595,0.03850210970464135,9_7,1.0,0.08860759493670886
