,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,val_f1,test_f1,test_tp,test_tn,test_fp,test_fn,val_tp,val_tn,val_fp,val_fn,Session_trial,Reward,Prop_pred_reward_trial
0,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_1,0.0,0.0
1,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_10,1.0,0.0
2,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_11,1.0,0.05128205128205128
3,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_12,0.0,0.1794871794871795
4,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_2,1.0,0.10256410256410256
5,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_3,1.0,0.0
6,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_4,0.0,0.0
7,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_5,1.0,1.0
8,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_6,1.0,0.0
9,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_7,1.0,0.0
10,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_8,1.0,1.0
11,Control,1,0.845128205128205,0.4188034188034188,0.7222222222222222,0.1987179487179487,0.7083333333333334,0.75,0.8872292755787902,0.38738738738738737,0.18376068376068377,0.23504273504273504,0.014957264957264958,0.5662393162393162,0.6346153846153846,0.20405982905982906,0.0876068376068376,0.07371794871794872,9_9,1.0,0.05128205128205128
0,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_1,1.0,0.9230769230769231
1,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_10,1.0,1.0
2,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_11,1.0,1.0
3,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_12,1.0,1.0
4,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_2,0.0,1.0
5,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_3,1.0,1.0
6,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_4,0.0,1.0
7,Control,10,0.7048717948717949,0.6602564102564102,0.811965811965812,0.9935897435897436,0.7083333333333334,0.6666666666666666,0.7983134223471539,0.7953667953667953,0.6602564102564102,0.0,0.3333333333333333,0.00641025641025641,0.6068376068376068,0.08653846153846154,0.20512820512820512,0.1014957264957265,9_5,1.0,1.0
