,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
0,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_1,0.0,1.0
1,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_10,0.0,1.0
2,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_11,1.0,1.0
3,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_12,0.0,0.0
4,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_2,1.0,1.0
5,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_3,0.0,1.0
6,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_4,1.0,1.0
7,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_5,1.0,0.8205128205128205
8,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_6,1.0,1.0
9,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_7,0.0,1.0
10,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_8,1.0,0.717948717948718
11,Control,1,0.8871794871794872,0.5448717948717948,0.7617521367521367,0.7948717948717948,0.7083333333333334,0.5833333333333334,7_9,1.0,0.0
0,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_1,0.0,0.0
1,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_10,0.0,0.0
2,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_11,0.0,0.0
3,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_12,1.0,1.0
4,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_2,1.0,0.0
5,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_3,0.0,0.1794871794871795
6,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_4,1.0,0.0
7,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_5,0.0,0.0
8,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_6,1.0,0.05128205128205128
9,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_7,0.0,0.8974358974358975
10,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_8,0.0,0.0
11,Control,10,0.7528205128205128,0.6410256410256411,0.8258547008547008,0.23717948717948717,0.7083333333333334,0.4166666666666667,7_9,1.0,0.717948717948718
0,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_1,0.0,0.02564102564102564
1,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_10,1.0,0.38461538461538464
2,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_11,1.0,0.6410256410256411
3,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_12,0.0,1.0
4,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_2,0.0,0.05128205128205128
5,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_3,1.0,1.0
6,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_4,0.0,0.5641025641025641
7,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_5,0.0,0.05128205128205128
8,Control,M3,0.7384615384615385,0.5790598290598291,0.9166666666666666,0.41025641025641024,0.7083333333333334,0.4166666666666667,7_6,1.0,0.0
